,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q=2; G=1;  else 0,bee,sary,raw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,,,,,,,,,
,,,bee,sal,raw,1,1,2,1,2,2,1,1,1,2,2,1,2,1,2,1,1,2,1,1,2,1,1,1,2,2,1,1,,,,,,,,,
,,,bee,bob,raw,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,,,,,,,,,
,,,bee,stolowd,raw,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,start w/:,omers,wiles,geeky,fewer,jinks,sprug,atmas,askew,tansy,scalp,gaffs,dobro,herbs,nerdy,fires,repin,blimp,detox,vexes,phpht,pursy,agist,cobra,bunco,bunns,gyrus,gilly,anele,,,,,,,,,
,,slots left; fail = -1,wordle,sary,raw,2,3,3,2,3,3,2,2,2,3,3,4,3,3,1,1,2,1,2,3,2,2,1,1,1,1,1,0,,,,,,,,,
,,,wordle,sal,raw,2,3,3,2,2,2,2,2,3,2,3,2,3,2,2,3,4,2,1,3,2,3,2,2,2,1,1,1,,,,,,,,,
,,,wordle,bob,raw,2,2,2,1,2,3,2,2,3,0,0,3,3,1,1,2,3,1,0,3,2,1,2,3,1,1,3,0,,,,,,,,,
,,,wordle,stolowd,raw,2,3,2,0,2,2,3,2,3,2,2,3,4,2,1,2,3,2,2,2,2,3,2,1,0,1,2,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,>6 = +10s/guess,keyword,sary,raw,41,19,20,11,17,26,10,42,15,70,30,21,12,136,39,10,110,15,8,19,22,11,47,156,40,25,11,24,,,,,35.96428571,,,,
,,,keyword,sal,raw,20,36,6,10,20,18,19,19,15,11,17,21,9,9,23,9,21,8,13,31,10,34,29,18,18,32,7,9,,,,,17.57142857,,,,
,,,keyword,bob,raw,23,45,19,18,21,12,11,42,14,22,12,17,15,14,17,20,17,19,28,40,21,8,15,20,24,22,4,6,,,,,19.5,,,,
,,,keyword,stolowd,raw,16,22,12,12,13,10,12,60,6,15,10,13,31,8,38,9,15,9,20,32,14,18,41,13,9,10,8,27,,,,,17.96428571,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,score,quintumble,sary,raw,97,61,100,99,54,100,100,99,98,99,100,85,98,97,99,97,99,98,98,99,99,98,98,98,97,88,97,99,,,,,94.67857143,,,,
,,,quintumble,sal,raw,99,97,100,96,99,97,97,98,100,99,100,91,99,98,99,99,87,100,100,100,72,99,99,99,99,100,99,99,,,,,97.17857143,,,,
,,,quintumble,bob,raw,97,83,99,100,87,75,98,97,96,99,99,97,99,26,100,100,99,100,99,100,95,93,99,99,97,98,85,15,,,,,90.39285714,,,,
,,,quintumble,stolowd,raw,99,99,95,100,99,99,100,97,98,98,97,100,99,96,98,100,98,99,99,98,93,75,98,99,94,97,100,100,,,,,97.28571429,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,,,,=,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,crossword,sary,rank,1,3,2,4,4,1,2,3,1,4,2,2,4,2,3,3,4,3,4,1,2,2,2,4,3,2,2,1,,,,,2.535714286,,,,
,,,crossword,sal,rank,2,4,1,1,1,4,4,1,4,3,3,1,2,4,4,4,2,2,3,2,4,1,3,2,1,3,1,4,,,,,2.535714286,,,,
,,,crossword,bob,rank,3,1,3,2,2,3,3,4,3,1,1,3,3,3,2,2,3,1,1,4,3,4,4,1,2,1,4,3,,,,,2.5,,,,
,,,crossword,stolowd,rank,4,2,4,3,3,2,1,2,2,2,4,4,1,1,1,1,1,4,2,3,1,3,1,3,4,4,3,2,,,,,2.428571429,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,connections,sary,rank,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1.214285714,,,,
,,,connections,sal,rank,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,,,,,1.285714286,,,,
,,,connections,bob,rank,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,4,1,1,4,3,1,1,1,,,,,1.607142857,,,,
,,,connections,stolowd,rank,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,1,1,1,3,1,4,1,,,,,1.428571429,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pyramid,sary,rank,4,4,3,4,4,2,2,4,3,3,1,2,4,4,1,2,4,3,4,1,1,4,2,3,2,4,2,2,,,,,2.821428571,,,,
,,,pyramid,sal,rank,1,1,2,2,2,3,1,1,2,1,2,3,2,1,2,1,3,2,1,3,3,2,1,2,1,2,1,3,,,,,1.821428571,,,,
,,,pyramid,bob,rank,3,2,4,3,3,4,4,3,4,2,4,1,1,3,4,4,2,4,3,2,4,2,4,4,3,3,3,4,,,,,3.107142857,,,,
,,,pyramid,stolowd,rank,2,3,1,1,1,1,3,2,1,4,3,4,3,2,3,3,1,1,2,4,2,1,3,1,4,1,4,1,,,,,2.214285714,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bee,sary,rank,1,1,2,1,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,3,2,1,1,2,1,1,1,,,,,1.357142857,,,,
,,,bee,sal,rank,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,,1.035714286,,,,
,,,bee,bob,rank,3,1,2,1,2,2,1,1,1,2,2,1,2,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,,,,,1.392857143,,,,
,,,bee,stolowd,rank,3,1,2,1,2,2,1,1,1,2,2,1,2,1,3,1,1,4,1,1,3,2,1,1,2,4,1,1,,,,,1.714285714,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,wordle,sary,rank,1,1,1,1,1,1,2,1,4,1,1,1,2,1,2,4,4,3,1,1,1,3,4,3,2,1,3,3,,,,,1.928571429,,,,
,,,wordle,sal,rank,1,1,1,1,2,3,2,1,1,2,1,4,2,2,1,1,1,1,3,1,1,1,1,2,1,1,3,1,,,,,1.535714286,,,,
,,,wordle,bob,rank,1,4,3,3,2,1,2,1,1,4,4,2,2,4,2,2,2,3,4,1,1,4,1,1,2,1,1,3,,,,,2.214285714,,,,
,,,wordle,stolowd,rank,1,1,3,4,2,3,1,1,1,2,3,2,1,2,2,2,2,1,1,4,1,1,1,3,4,1,2,1,,,,,1.892857143,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,keyword,sary,rank,4,1,4,2,2,4,1,2,3,4,4,3,2,4,4,3,4,3,1,1,4,2,4,4,4,3,4,3,,,,,,,,,
,,,keyword,sal,rank,2,3,1,1,3,3,4,1,3,1,3,3,1,2,2,1,3,1,2,2,1,4,2,2,2,4,2,2,,,,,,,,,
,,,keyword,bob,rank,3,4,3,4,4,2,2,2,2,3,2,2,3,3,1,4,2,4,4,4,3,1,1,3,3,2,1,1,,,,,,,,,
,,,keyword,stolowd,rank,1,2,2,3,1,1,3,4,1,2,1,1,4,1,3,1,1,2,3,3,2,3,3,1,1,1,3,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,quintumble,sary,rank,3,4,1,3,4,1,1,1,2,1,1,4,4,2,2,4,1,4,4,3,1,2,3,4,2,4,3,2,,,,,2.535714286,,,,
,,,quintumble,sal,rank,1,2,1,4,1,3,4,2,1,1,1,3,1,1,2,3,4,1,1,1,4,1,1,1,1,1,2,2,,,,,1.821428571,,,,
,,,quintumble,bob,rank,3,3,3,1,3,4,3,3,4,1,3,2,1,4,1,1,1,1,2,1,2,3,1,1,2,2,4,4,,,,,2.285714286,,,,
,,,quintumble,stolowd,rank,1,1,4,1,1,2,1,3,2,4,4,1,1,3,4,1,3,3,2,4,3,4,3,1,4,3,1,1,,,,,2.357142857,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,raw rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,sary,rank,15,15,14,16,18,12,13,16,15,16,12,14,19,15,14,18,19,18,16,9,13,16,17,20,16,16,16,13,,,,,416,,,,
,,,,sal,rank,9,16,8,11,11,18,17,8,13,10,12,19,10,12,13,12,15,9,12,11,15,12,10,13,8,13,11,14,,,,,333,,,,
,,,,bob,rank,17,16,19,18,17,17,16,15,16,14,17,12,13,19,17,15,12,15,19,14,18,16,13,15,17,11,15,17,,,,,423,,,,
,,,,stolowd,rank,13,13,17,14,11,12,11,14,9,17,18,14,13,11,17,10,13,16,12,20,15,15,13,11,22,15,18,11,,,,,382,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,rank rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,sary,,3,2,2,3,4,1,2,4,3,3,1,2,4,3,2,4,4,4,3,1,1,3,4,4,2,4,3,2,,,,,75,,,,
,,,,sal,,1,3,1,1,1,4,4,1,2,1,1,4,1,2,1,2,3,1,1,2,2,1,1,2,1,2,1,3,,,,,49,,,,
,,,,bob,,4,3,4,4,3,3,3,3,4,2,3,1,2,4,3,3,1,2,4,3,4,3,2,3,3,1,2,4,,,,,77,,,,
,,,,stolowd,,2,1,3,2,1,1,1,2,1,4,4,2,2,1,3,1,2,3,1,4,2,2,2,1,4,3,4,1,,,,,58,,,,
